Pays;Facteur d'émission de l'électricité du réseau (kgCOe/kWh);Source;;;;;;;;
Tanzanie;0,38022287;Ember Climate, 2020;;;;;;;;
Thaïlande;0,50315494;Ember Climate, 2021;;;;;;;;
Togo;0,57692316;Ember Climate, 2020;;;;;;;;
Trinité-et-Tobago;0,4979688;Ember Climate, 2020;;;;;;;;
Tunisie;0,47038147;Ember Climate, 2021;;;;;;;;
Turkménistan;0,41232855;Ember Climate, 2020;;;;;;;;
Turquie;0,4296388;Ember Climate, 2021;;;;;;;;
Ukraine;0,24050241;Ember Climate, 2021;;;;;;;;
Uruguay;0,15238716;Ember Climate, 2021;;;;;;;;
Vénézuéla;0,23105603;Ember Climate, 2020;;;;;;;;
Vietnam;0,42626578;Ember Climate, 2021;;;;;;;;
Yémen;0,53846155;Ember Climate, 2020;;;;;;;;
Zambie;0,12077597;Ember Climate, 2020;;;;;;;;
Zimbabwé;0,2790279;Ember Climate, 2020;;;;;;;;
